mfcc_mean_0,mfcc_std_0,mfcc_max_0,mfcc_min_0,mfcc_mean_1,mfcc_std_1,mfcc_max_1,mfcc_min_1,mfcc_mean_2,mfcc_std_2,mfcc_max_2,mfcc_min_2,mfcc_mean_3,mfcc_std_3,mfcc_max_3,mfcc_min_3,mfcc_mean_4,mfcc_std_4,mfcc_max_4,mfcc_min_4,mfcc_mean_5,mfcc_std_5,mfcc_max_5,mfcc_min_5,mfcc_mean_6,mfcc_std_6,mfcc_max_6,mfcc_min_6,mfcc_mean_7,mfcc_std_7,mfcc_max_7,mfcc_min_7,mfcc_mean_8,mfcc_std_8,mfcc_max_8,mfcc_min_8,mfcc_mean_9,mfcc_std_9,mfcc_max_9,mfcc_min_9,mfcc_mean_10,mfcc_std_10,mfcc_max_10,mfcc_min_10,mfcc_mean_11,mfcc_std_11,mfcc_max_11,mfcc_min_11,mfcc_mean_12,mfcc_std_12,mfcc_max_12,mfcc_min_12,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,chroma_mean_0,chroma_std_0,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,zcr_mean,zcr_std,rms_energy_mean,rms_energy_std,rms_energy_max,duration,sample_rate,max_amplitude,mean_amplitude,speaker,audio_name,augmentation,audio_path,file_id
-343.35956,113.2622,-184.49782,-600.20496,84.79267,50.157833,175.30353,-32.25565,-16.91659,27.959633,59.469242,-92.752106,48.220306,32.663532,113.815994,-3.0511818,-21.06245,22.952873,36.609962,-78.33461,11.658047,22.722363,68.6261,-35.68655,-14.17158,18.484653,28.646564,-65.0613,-14.373573,17.744322,36.92224,-53.792015,-17.612186,13.480784,8.995285,-45.833004,0.9337517,12.142533,27.505135,-34.746067,-4.411323,10.94407,28.76852,-29.563255,-8.798295,10.108738,17.30479,-37.96296,-0.119997375,10.336113,25.385284,-28.553162,1802.2389657211343,1361.414842523902,3393.323771158854,2066.341599112031,1565.504671604268,628.0529400471272,0.2430214,0.3233258,0.24549162,0.34257442,0.18177463,0.2752204,0.14105338,0.21032435,0.17884766,0.27935594,0.20576285,0.31809774,0.22207852,0.3194648,0.27798012,0.3506426,0.32964933,0.354688,0.36707345,0.37386262,0.34509355,0.36707386,0.2813383,0.33382705,0.0895724826388889,0.10858599008843897,0.058673423,0.043361895,0.17476957,5.0,22050,0.4538269,0.046247263,unknown,unknown_1_84-121550-0024.flac,original,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-270.63654,56.75819,-155.21846,-403.48434,45.150444,37.46417,116.00441,-52.587753,6.5345416,20.7712,40.990818,-59.46633,22.96881,24.661474,83.21791,-22.756279,-5.1970387,15.314803,27.350319,-51.15634,0.80034935,16.958698,48.293407,-44.72045,-6.448033,13.799919,28.018677,-44.860672,-16.363558,14.915485,20.762177,-50.56505,-13.322578,10.900455,6.555602,-39.934296,-2.0545778,10.398515,19.161781,-36.264282,-4.569685,9.738716,25.817825,-23.366629,-7.883251,8.65283,12.721875,-33.82179,-2.647734,8.049129,19.232733,-22.586046,3032.654789131908,1444.0808023433922,5905.082194010417,2017.1316947608168,2688.85269937558,451.2844975893758,0.31585997,0.3493235,0.3337568,0.38469377,0.27635458,0.345517,0.23009817,0.29826206,0.26699695,0.34738165,0.27370018,0.3460669,0.28839752,0.3438484,0.34330043,0.3629174,0.3915578,0.3538577,0.43295923,0.37047327,0.41479823,0.36917543,0.34693798,0.34406322,0.17262098524305555,0.17044910545941072,0.05910287,0.042861663,0.17465149,5.0,22050,0.45767212,0.046693098,unknown,unknown_1_84-121550-0024.flac,noise_low,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-204.09418,31.975414,-121.75404,-289.44244,26.214977,25.8109,85.06217,-42.980392,10.587707,14.721598,39.73173,-35.49975,12.557479,16.13234,55.01059,-29.273537,-1.490045,10.266095,16.419308,-33.321938,-1.2610086,11.636206,31.261005,-35.305916,-5.3051534,9.782339,20.057087,-32.7285,-11.920066,11.284651,23.777172,-38.247726,-9.946208,8.387059,10.297355,-30.082838,-2.8447778,7.6995873,16.001741,-28.381046,-3.9733038,7.63482,17.580235,-22.615696,-6.5425425,7.123174,10.916466,-26.859343,-3.3825638,5.9232817,12.032709,-17.282,3896.608520460744,1098.8085796378516,7858.123779296875,1281.988921315171,3174.9393392239454,316.9364154216679,0.34914792,0.3599789,0.33847135,0.3751426,0.2694593,0.3182815,0.29506442,0.36324275,0.29889235,0.35893792,0.29599518,0.3433586,0.3448215,0.3613513,0.39567032,0.35990036,0.44042376,0.36480168,0.44247806,0.36788607,0.39542603,0.3577397,0.35782418,0.3570017,0.2093844943576389,0.16845629724850117,0.060901117,0.041402567,0.17499755,5.0,22050,0.45892334,0.04840942,unknown,unknown_1_84-121550-0024.flac,noise_high,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-366.34528,109.72323,-211.50261,-620.175,84.08294,48.289165,164.0633,-24.549896,-14.396704,24.896202,48.08274,-85.3481,49.238995,31.582476,113.13147,0.0,-23.200644,20.777508,33.95609,-75.54901,8.960964,22.352612,73.93187,-36.124912,-16.219849,18.965302,25.466454,-74.6274,-16.701298,17.496262,32.45619,-55.411102,-18.84053,13.422915,6.962878,-49.664307,-0.46916097,11.367841,28.323685,-33.510483,-4.617556,10.180962,26.537117,-29.450386,-9.639575,9.7096195,12.292677,-35.416817,-0.47081205,10.677944,22.46159,-28.338371,1904.6766126917964,1273.6832737143613,3700.8199055989585,2008.1516457378523,1705.1068797945982,632.1450766267072,0.2656725,0.325785,0.28200954,0.35458738,0.20925981,0.2919101,0.14457051,0.201037,0.17929289,0.2752553,0.19962834,0.31110072,0.20005144,0.29325002,0.25611147,0.3387994,0.30786908,0.34852213,0.3250626,0.3498861,0.33875126,0.3788064,0.28964725,0.33414027,0.09808123553240741,0.1144409951068913,0.041651823,0.031900056,0.15101835,5.0,22050,0.42752075,0.033345155,unknown,unknown_1_84-121550-0024.flac,speed_0.9,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-362.84406,106.59714,-208.359,-629.81946,83.60762,49.041786,163.63884,-26.13909,-17.883892,26.083546,53.204277,-84.32117,49.82606,31.764065,113.59371,-0.17072526,-26.068146,20.382345,32.52117,-77.973114,12.13206,21.620647,61.170708,-35.079987,-16.690042,19.04036,20.311146,-74.90398,-15.375076,16.824665,29.28496,-50.897293,-19.09005,13.603242,9.241395,-51.368484,1.1716516,11.964873,26.456192,-26.615028,-3.6053395,11.140215,26.843086,-28.07226,-10.159331,9.354049,10.778599,-35.275436,0.32650244,10.737494,23.978313,-29.66536,1993.3381859025828,1235.1666716800048,3867.07763671875,1916.001391226718,1730.9369864932628,603.985654218801,0.25177038,0.31202453,0.27041236,0.34681275,0.20440355,0.26513228,0.15719377,0.21396813,0.1917172,0.2935134,0.19304338,0.293493,0.20546466,0.27676377,0.2839324,0.35326204,0.33654684,0.3389118,0.4033665,0.3835182,0.369698,0.36867446,0.28664517,0.32097936,0.1061264349489796,0.10843275050345688,0.039151467,0.030280063,0.12035604,4.545442176870749,22050,0.394104,0.031113166,unknown,unknown_1_84-121550-0024.flac,speed_1.1,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-371.1497,104.269394,-225.23772,-630.8302,94.54666,51.85367,182.17322,-9.968882,-25.495205,26.038876,50.04856,-109.724556,55.855396,32.713154,132.7243,0.0,-19.279722,22.2495,39.55736,-70.47591,9.080796,24.289175,72.47359,-52.337067,-3.2875774,14.717407,29.450993,-53.558525,-14.78984,13.562755,9.757286,-45.6586,-17.496521,13.220613,10.507145,-45.46962,-12.19507,12.36139,18.440886,-41.921074,4.5242176,12.62068,40.01346,-17.928734,-14.04314,12.273808,13.631123,-44.275112,-0.48185858,8.302019,21.277008,-23.476688,1796.5918534883685,1124.5667359469496,3493.9117431640625,1781.254723941558,1575.237213931796,572.5052517374942,0.2143439,0.30524778,0.14034706,0.17568988,0.17239533,0.26804796,0.1955897,0.29672787,0.21112452,0.27679443,0.28602445,0.34262478,0.331718,0.3441781,0.35575527,0.35143313,0.36852264,0.3729506,0.30392265,0.33537123,0.26135233,0.32087556,0.26554412,0.34530306,0.09423376012731481,0.0986681804829561,0.038272705,0.028452678,0.122782126,5.0,22050,0.28442383,0.03028914,unknown,unknown_1_84-121550-0024.flac,pitch_shift_down,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-356.95532,109.62308,-196.93126,-622.4184,71.43381,48.000248,153.85864,-52.005043,-8.246119,27.55079,50.19751,-73.77717,38.929928,28.87432,98.38008,-5.8227615,-27.42905,20.447378,21.881336,-78.25696,9.399715,18.634428,58.670204,-24.28661,-25.99325,19.088762,18.88673,-69.197784,-13.333748,19.497679,38.963387,-54.546375,-12.664991,15.426296,23.461311,-55.502724,6.6093254,12.968605,43.027702,-22.042416,-14.53821,12.814272,9.960682,-49.558975,-1.4981127,10.136333,31.857677,-29.611345,-6.504347,8.765854,15.358335,-29.251947,2249.4970428946835,1380.5237474802339,4413.808186848958,2089.158158035934,1955.5770329046295,642.3221359225976,0.3503572,0.36103633,0.27216572,0.32289973,0.24617985,0.31358954,0.25203577,0.3438688,0.17319699,0.25195694,0.14640822,0.22552414,0.1957688,0.30263174,0.20626315,0.31808913,0.23256439,0.30209225,0.31115845,0.37402472,0.3468863,0.3541146,0.3722694,0.36680207,0.11462854456018519,0.12285082809156617,0.03717661,0.026491681,0.13194562,5.0,22050,0.38562012,0.029413031,unknown,unknown_1_84-121550-0024.flac,pitch_shift_up,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-365.2882,113.26317,-206.42334,-622.1331,84.79442,50.160103,175.29967,-32.23679,-16.918371,27.958666,59.408615,-92.74414,48.22036,32.662724,113.808304,-3.0640001,-21.059975,22.9511,36.632793,-78.32689,11.658215,22.723618,68.59277,-35.699028,-14.169219,18.487127,28.6389,-65.04272,-14.375508,17.743435,36.934982,-53.781013,-17.61125,13.480758,9.134594,-45.841324,0.9361726,12.142018,27.509697,-34.751076,-4.4118605,10.942117,28.770714,-29.571743,-8.797584,10.109053,17.29637,-37.96149,-0.11873655,10.336677,25.366959,-28.561481,1804.2349213928235,1362.9299672157981,3399.7538248697915,2074.2268733845144,1568.6900786035442,631.78975955648,0.24349989,0.32372576,0.24632245,0.3433924,0.18334855,0.2777944,0.1412519,0.21172997,0.1787636,0.28081736,0.20596436,0.3188389,0.22219127,0.31963065,0.27733338,0.35027736,0.3291591,0.35417497,0.36596152,0.37308517,0.3452578,0.3658594,0.28331816,0.33450216,0.08950014467592593,0.10858637485640792,0.046938732,0.034689497,0.13981538,5.0,22050,0.36306763,0.036997925,unknown,unknown_1_84-121550-0024.flac,volume_0.8,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0024.flac,101
-379.13065,120.70516,-219.91322,-612.2589,84.907265,43.597534,192.49466,-22.510841,-11.247902,25.914682,56.813934,-63.409344,42.011482,33.21727,116.95999,-7.26724,-17.132988,25.877308,42.54283,-72.40923,13.240246,19.505684,69.22647,-26.60353,-12.709711,18.629993,19.66354,-63.823124,-9.731995,13.639033,24.830118,-46.695683,-7.9890018,13.100908,22.886656,-45.012688,-1.4146248,11.0415125,23.54014,-27.86583,-4.148392,10.515202,26.228685,-37.74505,-5.949906,11.443553,14.385401,-34.91935,0.15987961,9.197291,19.174957,-26.900951,1874.84887347522,1130.736445320896,3732.2723388671875,1748.2331577732025,1738.9670400818743,578.7026206603335,0.37596878,0.35717008,0.3734083,0.36594808,0.35496786,0.35591584,0.35282043,0.34023994,0.35204405,0.34478113,0.34533837,0.32626724,0.356179,0.33976364,0.34821564,0.3439027,0.28279302,0.28019804,0.3083882,0.3297742,0.35560185,0.36742213,0.33744296,0.32922927,0.08367919921875,0.07331973362329479,0.041431446,0.04050365,0.15310577,5.0,22050,0.2892151,0.03187825,unknown,unknown_2_84-121550-0025.flac,original,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-289.6692,56.08111,-184.26079,-391.90237,38.769657,35.699013,123.785614,-49.177864,8.147584,15.326865,55.740623,-29.078598,18.111233,22.320538,81.97961,-30.91404,-4.189265,14.7701025,37.873154,-48.868393,2.446051,13.693812,45.418526,-33.717377,-5.364267,12.701408,22.57436,-44.255333,-10.777796,13.594133,12.065514,-43.82847,-6.00006,9.929671,18.475943,-30.645824,-3.5398288,9.44425,20.41938,-29.573322,-4.197985,9.224326,19.382523,-31.578445,-5.0766807,9.375724,13.027241,-30.16486,-2.7544818,7.483158,15.698547,-25.406918,3541.027803771507,1513.680649278343,6767.307535807292,2112.173801257161,2865.626448654811,394.195765075525,0.46581224,0.38124543,0.45973477,0.38921446,0.45717156,0.39404374,0.4639471,0.38959238,0.45712772,0.3876705,0.43431923,0.34732586,0.44548795,0.36140898,0.44396618,0.3700586,0.40278694,0.3465612,0.42086193,0.3718865,0.43419766,0.3709096,0.43277976,0.3591602,0.24155454282407407,0.1787264674901346,0.042202976,0.039812725,0.15310378,5.0,22050,0.29141235,0.032647572,unknown,unknown_2_84-121550-0025.flac,noise_low,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
